Exp,Site,Hole,Core,CoreType,Section,TopDepth,BottomDepth,CuratedLength
GLAD9-PET06,2,A,17,H,9,48.395,48.425,0.03
GLAD9-PET06,2,A,18,H,1,48.48,49.98,1.51
GLAD9-PET06,2,A,18,H,2,49.98,51.43033113,1.46
GLAD9-PET06,2,A,18,H,9,51.43033113,51.48,0.05
GLAD9-PET06,2,A,19,H,1,51.48,52.97,1.49
GLAD9-PET06,2,A,19,H,2,52.97,54.438,1.468
GLAD9-PET06,2,A,19,H,9,54.438,54.461,0.023
GLAD9-PET06,2,A,20,E,1,54.48,55.82768409,1.513
GLAD9-PET06,2,A,20,E,2,55.82768409,56.64716152,0.92
GLAD9-PET06,2,A,20,E,3,56.64716152,57.47109264,0.925
GLAD9-PET06,2,A,20,E,9,57.47109264,57.48,0.01
GLAD9-PET06,2,A,21,E,1,57.48,58.835,1.355
GLAD9-PET06,2,A,21,E,9,58.835,58.925,0.09
GLAD9-PET06,2,A,22,E,1,60.48,61.98,1.5
GLAD9-PET06,2,A,22,E,2,61.98,62.58,0.6
GLAD9-PET06,2,A,22,E,9,62.58,62.71,0.13
GLAD9-PET06,2,A,23,E,1,63.48,64.91,1.43
GLAD9-PET06,2,B,1,H,1,0,1.505,1.505
GLAD9-PET06,2,B,1,H,2,1.505,2.09,0.585
GLAD9-PET06,2,B,1,H,9,2.09,2.14,0.05
GLAD9-PET06,2,B,2,H,1,2.14,3.611917366,1.52
GLAD9-PET06,2,B,2,H,2,3.611917366,4.357559716,0.77
GLAD9-PET06,2,B,2,H,3,4.357559716,4.786546159,0.443
GLAD9-PET06,2,B,2,H,4,4.786546159,4.881446094,0.098
GLAD9-PET06,2,B,2,H,5,4.881446094,5.052846998,0.177
GLAD9-PET06,2,B,2,H,9,5.052846998,5.14,0.09
GLAD9-PET06,2,B,3,H,1,5.14,6.42,1.28
GLAD9-PET06,2,B,3,H,2,6.42,7.18,0.76
GLAD9-PET06,2,B,3,H,9,7.18,7.26,0.08
GLAD9-PET06,2,B,4,H,1,8.14,9.64,1.51
GLAD9-PET06,2,B,4,H,2,9.64,10.91152318,1.28
GLAD9-PET06,2,B,4,H,3,10.91152318,10.99099338,0.08
GLAD9-PET06,2,B,4,H,4,10.99099338,11.09033113,0.1
GLAD9-PET06,2,B,4,H,9,11.09033113,11.14,0.05
GLAD9-PET06,2,B,5,H,1,11.14,12.16,1.02
GLAD9-PET06,2,B,5,H,2,12.16,13.1,0.94
GLAD9-PET06,2,B,5,H,3,13.1,13.944,0.844
GLAD9-PET06,2,B,5,H,4,13.944,14.059,0.115
GLAD9-PET06,2,B,5,H,9,14.059,14.089,0.03
GLAD9-PET06,2,B,6,H,1,14.14,15.64,1.5
GLAD9-PET06,2,B,6,H,2,15.64,17.05,1.41
GLAD9-PET06,2,B,6,H,9,17.05,17.13,0.08
GLAD9-PET06,2,B,7,H,1,17.14,18.645,1.505
GLAD9-PET06,2,B,7,H,2,18.645,19.945,1.3
GLAD9-PET06,2,B,7,H,9,19.945,20.03,0.085
GLAD9-PET06,2,B,8,H,1,20.14,21.638,1.498
GLAD9-PET06,2,B,8,H,2,21.638,23.045,1.407
GLAD9-PET06,2,B,8,H,9,23.045,23.095,0.05
GLAD9-PET06,2,B,9,H,1,23.14,24.642,1.502
