Site,Hole,Core,CoreType,Section,CuratedLength,TopDepth,BottomDepth,TopDepthScaled,BottomDepthScaled
7,A,48,E,9,0.04,128.18,128.22,127.405,127.445
7,A,49,E,1,1.505,128.9,130.405,128.125,129.63
7,A,49,E,2,1.39,130.405,131.795,129.63,131.02
7,A,49,E,9,0.1,131.795,131.895,131.02,131.12
7,A,50,E,1,0.987,131.9,132.887,131.125,131.8581476
7,A,50,E,9,0.09,132.887,132.977,131.8581476,131.925
7,A,52,A,9,0.16,132.71,132.87,131.935,132.095
7,B,1,H,1,1.505,1.21,2.715,0.0,1.505
7,B,1,H,2,0.205,2.715,2.92,1.505,1.71
7,B,1,H,9,0.08,2.92,3.0,1.71,1.79
7,B,2,H,1,1.14,3.0,4.14,1.79,2.93
7,B,2,H,2,1.505,4.14,5.645,2.93,4.435
7,B,2,H,9,0.13,5.645,5.775,4.435,4.565
7,B,3,H,1,1.505,6.0,7.505,4.79,6.295
7,B,3,H,2,0.84,7.505,8.345,6.295,7.135
7,B,3,H,9,0.09,8.345,8.435,7.135,7.225
7,B,4,H,1,0.75,9.0,9.75,7.79,8.099375
7,B,4,H,9,0.05,9.75,9.8,8.099375,8.12
7,B,5,H,1,0.03,9.33,9.36,8.12,8.15
7,B,5,H,9,0.02,9.36,9.38,8.15,8.17
7,B,6,A,9,0.04,9.38,9.42,8.17,8.21
7,B,7,H,1,1.334,11.38,12.714,10.17,11.504000000000001
7,B,7,H,2,0.517,12.714,13.231,11.504000000000001,12.020999999999999
7,B,7,H,9,0.05,13.231,13.280999999999999,12.020999999999999,12.071
7,B,8,H,1,1.185,13.58,14.765,12.37,13.555
7,B,8,H,9,0.09,14.765,14.855,13.555,13.645
7,B,9,H,1,1.5,14.88,16.38,13.67,15.15148148
7,B,9,H,2,0.485,16.38,16.865,15.15148148,15.63049383
7,B,9,H,9,0.04,16.865,16.905,15.63049383,15.67
7,B,10,H,1,1.01,16.88,17.89,15.67,16.36874214
7,B,10,H,2,0.58,17.89,18.47,16.36874214,16.77
7,B,11,H,1,1.49,17.98,19.47,16.77,17.74598253
7,B,11,H,2,0.76,19.47,20.23,17.74598253,18.24379913
7,B,11,H,9,0.04,20.23,20.27,18.24379913,18.27
7,B,12,H,1,0.77,19.48,20.25,18.27,18.89096774
7,B,12,H,2,0.44,20.25,20.69,18.89096774,19.24580645
7,B,12,H,9,0.03,20.69,20.72,19.24580645,19.27
7,B,13,H,1,0.305,20.48,20.785,19.27,19.54313433
7,B,13,H,9,0.03,20.785,20.815,19.54313433,19.57
7,B,14,A,9,0.05,20.78,20.83,19.57,19.62
7,B,15,A,1,0.23,23.78,24.01,22.57,22.8
7,B,15,A,9,0.05,24.01,24.06,22.8,22.85
7,B,16,H,1,1.515,24.78,26.295,23.57,25.07996678
7,B,16,H,2,1.405,26.295,27.7,25.07996678,26.480299
7,B,16,H,9,0.09,27.7,27.79,26.480299,26.57
7,B,17,H,1,1.51,26.78,28.29,25.57,27.08
7,B,17,H,2,0.91,28.29,29.2,27.08,27.99
7,B,17,H,9,0.03,29.2,29.23,27.99,28.02
7,B,18,H,1,1.51,29.78,31.29,28.57,30.08
7,B,18,H,2,1.435,31.29,32.725,30.08,31.515
7,B,18,H,9,0.05,32.725,32.775,31.515,31.565
7,B,19,H,1,1.505,32.78,34.285,31.57,33.075
7,B,19,H,2,1.3159999999999998,34.285,35.601,33.075,34.391
7,B,19,H,9,0.005,35.601,35.606,34.391,34.396
7,B,20,H,1,1.5,35.78,37.28,34.57,36.07
7,B,20,H,2,0.715,37.28,37.995,36.07,36.785
7,B,20,H,9,0.07,37.995,38.065,36.785,36.855
7,B,21,E,1,0.295,38.78,39.075,37.57,37.83497006
7,B,21,E,2,1.51,39.075,40.585,37.83497006,39.19125749
7,B,21,E,3,1.495,40.585,42.08,39.19125749,40.53407186
7,B,21,E,9,0.04,42.08,42.12,40.53407186,40.57
7,B,22,E,1,0.31,41.78,42.09,40.57,40.84312775
7,B,22,E,2,1.505,42.09,43.595,40.84312775,42.16911894
7,B,22,E,3,1.51,43.595,45.105,42.16911894,43.49951542
7,B,22,E,9,0.08,45.105,45.185,43.49951542,43.57
7,B,23,H,1,0.8,44.78,45.58,43.57,44.37
7,B,23,H,2,0.996,45.58,46.576,44.37,45.36600000000001
7,B,24,H,1,0.98,46.68,47.66,45.47,46.40580902
7,B,24,H,2,0.905,47.66,48.565,46.40580902,47.27
7,B,25,H,1,1.01,48.48,49.49,47.27,48.27720222
7,B,25,H,2,0.795,49.49,50.285,48.27720222,49.07
7,B,26,H,1,0.966,50.28,51.246,49.07,49.99637187
7,B,26,H,2,0.9109999999999999,51.246,52.157,49.99637187,50.87
7,B,27,H,1,0.91,52.08,52.99,50.87,51.73119874
7,B,27,H,2,0.992,52.99,53.982,51.73119874,52.67
7,B,28,H,1,1.14,53.88,55.02,52.67,53.78649485
7,B,28,H,2,0.8,55.02,55.82,53.78649485,54.57
7,B,29,H,1,1.04,55.78,56.82,54.57,55.57304569
7,B,29,H,2,0.93,56.82,57.75,55.57304569,56.47
7,B,30,H,1,0.97,57.68,58.65,56.47,57.40960114
7,B,30,H,2,0.785,58.65,59.435,57.40960114,58.17
7,B,31,H,1,1.55,59.38,60.93,58.17,59.67
7,B,32,E,1,0.66,60.88,61.54,59.67,60.19
7,B,33,E,1,0.345,61.4,61.745,60.19,60.488701299999995
7,B,33,E,2,1.505,61.745,63.25,60.488701299999995,61.7917316
7,B,33,E,3,1.505,63.25,64.755,61.7917316,63.094761899999995
7,B,33,E,9,0.11,64.755,64.865,63.094761899999995,63.19
7,B,34,E,1,0.87,64.4,65.27,63.19,63.9888024
7,B,34,E,2,1.5,65.27,66.77,63.9888024,65.3660479
7,B,34,E,9,0.135,66.77,66.905,65.3660479,65.49
7,B,35,E,1,0.115,66.7,66.815,65.49,65.605
7,B,35,E,9,0.09,66.815,66.905,65.605,65.695
7,B,36,E,9,0.075,68.4,68.475,67.19,67.265
7,B,37,E,1,1.21,70.6,71.81,69.39,70.33901961
7,B,37,E,9,0.065,71.81,71.875,70.33901961,70.39
7,B,38,E,1,1.505,71.6,73.105,70.39,71.67388626
7,B,38,E,2,0.52,73.105,73.625,71.67388626,72.11748815
7,B,38,E,9,0.085,73.625,73.71,72.11748815,72.19
7,B,39,E,1,0.561,73.4,73.961,72.19,72.67759054
